gx,gy,gz,ax,ay,az,label
-11783206,7296947,13990076,-57373048,10644531,26879884,1
57633584,27312976,921374,22973633,-8569336,7751465,10
56106872,-11496183,2335878,-5078125,-5859375,12536621,10
13938931,20274808,-49465648,31982422,-3671875,38745116,10
-4351145,16717557,-114503816,-119384768,30517578,8947754,0
-4274809,488549632,-26717558,-1274414,2709961,9055176,0
3816794,34580152,-610687,-10864258,30517578,8937988,0
-2187023,-14167939,-51160304,-61523436,20996094,74902344,1
-24213742,-7725191,-33267172,-5517578,99365232,9831543,1
-40458016,1259542,-8396947,-13720703,16113282,9001465,0
-2091603,19770992,-15725191,-11035156,3857422,86694332,0
-60305348,8778626,0,-13745117,25878906,9050293,0
8389313,26885496,-362595432,-68847656,48828124,12856445,10
-17091602,-270229,27343512,28808594,-29467772,24243164,10
-14503818,5038168,-7633588,-13208008,25878906,90405272,0
-2832061,2427481,-229007632,-12133789,2734375,8820801,0
15267176,11526718,-8396947,-13183594,24902344,89746092,0
11320611,48076336,-89091608,8666992,34887696,1130127,1
-5949618,-6327481,-52366416,15380859,-18676758,12248535,10
-11358779,-1829771,9160305,-6616211,5029297,1232666,10
-28816794,-15885496,-55343512,3947754,31738282,2019043,10
-13412213,-2501374,-100229,-7084961,-20,1999939,1
74656488,12137404,38687024,-2121582,-5126953,93237304,1
-14503818,5038168,-7633588,-13208008,25878906,90405272,0
2032061,8541985,-228015268,-16748047,43969728,8117676,1
-50580156,-8719084,354961832,-1953125,7739258,11447754,10
-83206104,-8244275,1519084,-11206055,3491211,8913574,0
-8396947,1038168,-6870229,-13574219,175781252,8984375,0
44633588,14610687,19931298,-1850586,14135742,15998535,10
3783206,33244276,-363358768,-15136719,30273438,15202637,10
458015268,58778624,53435112,-12060547,18066406,9055176,0
-15267176,4221374,33351148,-18017578,444824232,963134768,1
4770229,3955725,14984733,-6567383,-16723633,13012695,10
-47175576,370229,66946564,-1430664,-20751954,10195312,0
9361069,11874809,-356488536,8984375,-99609376,10463867,10
-6983206,-759313,-59389316,-26611328,-8911133,8654785,10
-54717556,-50053436,-8862596,37158204,-30493164,46606444,10
6116794,8464886,1278626,-29296875,-26831056,9980469,10
19259542,-22206106,-8290076,1809082,-7495117,8696289,10
-35221376,-4493893,-60610684,32128906,7080078,422607432,10
-18396946,-3610687,-2038168,-1315918,17333984,907959,0
-16793894,6870229,-99236648,-12573242,234375,90283204,0
10687023,-14687023,-5393893,-15161133,-28100586,9260254,1
-2501374,51954196,19674046,-76171868,1078125,61694336,1
0,70229008,0,-13720703,20996094,888916,0
-129771,7633588,-198473292,-13134766,21240234,89501952,0
2832061,-46183204,-530229,16137696,-17700196,8977051,1
-4152672,-9315267,-69694652,107421868,-14086914,11945801,10
8007633,18778626,-7735878,61035156,-13598633,9172363,1
5520611,7912977,28854962,1928711,-12011719,13498535,10
-6680153,-10187023,-37633588,-1538086,14160156,11982422,10
7442748,-4351145,-20832062,-28320312,-38256836,13540039,1
-221374052,1389313,-13740458,-118896488,2319336,8955078,0
-29007636,366412232,-67175576,-12207031,18066406,9091797,0
-9198473,400229,9435115,41992188,-28686524,27416992,10
-6870229,10305344,-221374052,-13330078,26855468,890625,0
-15870229,-2067939,-628854968,-8325195,18847656,81347656,1
106740456,19658778,-14717557,26855468,-9277344,6455078,10
14361068,16874046,53129772,-234375,8618164,10593262,10
-1359542,-27625954,-366030536,-15551758,61035156,81884768,1
117816792,9605344,6412214,-19458008,104003908,16374512,10
45496184,-14641221,-10984733,-10864258,3635254,94873048,1
106740456,19658778,-14717557,26855468,-9277344,6455078,10
-38374048,-6851908,-19259542,3881836,-27075196,10339356,10
-3816794,43282444,10564885,428222668,-23291016,20581054,10
362595432,-3740458,22671756,-1081543,38085936,91967776,0
-6870229,10229008,7633588,-13574219,25146484,891601536,0
304427484,20305344,4070229,-13891602,-2265625,10356445,1
48648852,-40717556,-26305344,-78125,-52734376,71972652,1
-20076336,16183206,-4961832,-10571289,5126953,8664551,0
-7633588,5496183,-99236648,-12841797,27832032,8955078,0
244274816,419847336,7633588,-13232422,24414062,9038086,0
-45251908,-12671756,2519084,49560548,-30151368,-5810547,10
-61068704,10610686,-45801528,-125,2758789,8930664,0
-50610684,5816794,27633586,-13183594,-45166016,1159668,0
-3816794,6259542,53435112,-12036133,29296875,889648464,0
-4091603,-46541984,-25396946,33618164,-47851564,5595703,10
-2357252,-920,-1693893,27368164,-33520508,5698242,10
-36267172,-8423664,8519084,7348633,9082031,11694336,10
-6442748,-96862592,-1725191,1418457,-15625,8796387,10
-91603052,83206104,-91603052,-13085938,2319336,88623048,0
-396946584,-26717558,-15267176,-119384768,21728516,9067383,0
48648852,-40717556,-26305344,-78125,-52734376,71972652,1
-11496183,18824426,74961832,3947754,-198242192,27246094,10
24244274,25923664,-78221376,3515625,359130836,7858887,1
-56053436,-51923664,-10343512,3088379,-253906252,7871094,10
117816792,9605344,6412214,-19458008,104003908,16374512,10
-60305348,21374046,1351145,-123046872,10253906,93359376,0
1208855,82854968,11946565,-7055664,-33325196,14990234,10
-2067939,-17305344,32030532,-103027348,2097168,9589844,1
-8171756,-9056489,-11167939,-1977539,-3515625,10432129,10
-114503816,-3129771,-14503818,-11816406,234375,90405272,0
15267176,11526718,-8396947,-13183594,24902344,89746092,0
24793894,-19213742,5912214,-191894532,-6225586,11411133,1
-259542,10305344,-21374046,-14135742,16357422,89819336,0
-7798473,-7948092,-24145038,-4321289,-26367188,11403808,10
-24137406,43053436,-38351148,3269043,-6335449,-15380859,10
-7319847,-8939695,13717557,-1303711,-1472168,16027832,10
