gx,gy,gz,ax,ay,az,label
0,0,0,0,0,0,0
-114503816,8854962,-129771,-12207031,2319336,8984375,0
-53435112,40458016,7633588,-11206055,22949218,9003906,0
-221374052,473282468,-122137408,-12182617,29052734,8979492,0
-183206116,5954198,7633588,-11425781,25146484,89501952,0
-229007632,7557252,-45801528,-1184082,26367188,8935547,0
-2977099,14351145,15267176,-115234376,234375,9057617,0
-16030534,11450381,183206116,-119384768,22460938,90185544,0
473282468,54198476,-221374052,-119628904,2368164,8972168,0
-419847336,11374046,-7633588,-12719726,234375,9033203,0
-32061068,9160305,-13740458,-12011719,17089844,892334,0
-6183206,1038168,221374052,-12817383,20263672,8967285,0
45801528,9847328,-3129771,-11816406,21972656,8996582,0
-91603052,13053435,8396947,-118652344,253906252,9050293,0
-10687023,8167939,-61068704,-12475586,28320312,9042969,0
-32824428,11450381,7633588,-12036133,19042968,9016113,0
-86259544,732824436,-78625952,-11352539,25634766,8935547,0
29007636,480916032,-129771,-12597656,28320312,89404296,0
6870229,83206104,-13740458,-12036133,24658204,898681664,0
-38015268,2076336,-10305344,-13012696,146484368,90356448,0
-60305348,21374046,1351145,-123046872,10253906,93359376,0
-2832061,2427481,-229007632,-12133789,2734375,8820801,0
-3923664,23587788,-45801528,-12060547,2319336,9069824,0
-58778624,13206106,-32824428,-1237793,28320312,89501952,0
-458015268,1389313,-10687023,-123046872,24414062,89208984,0
-47175576,370229,66946564,-1430664,-20751954,10195312,0
22900764,6946565,53435112,-12084961,2734375,904785136,0
-221374052,1389313,-13740458,-118896488,2319336,8955078,0
458015268,58778624,53435112,-12060547,18066406,9055176,0
-732824436,5801527,-6870229,-13232422,234375,8972168,0
-1610687,2221374,8396947,-123046872,24169922,90234376,0
1908397,7480916,-53435112,-12133789,24658204,90234376,0
0,9312977,-22900764,-12573242,18798828,90893552,0
20595418,-13656488,-21068702,-11035156,45654296,8803711,0
-10450381,-33587788,13206106,3857422,-2578125,9020996,0
